id	t2015-01	t2015-02	t2015-03	t2015-04	t2015-05	t2015-06	t2015-07	t2015-08	t2015-09	t2015-10	t2015-11	t2015-12	t2015-13	t2015-14	t2015-15	t2015-16	t2015-17	t2015-18	t2015-19	t2015-20	t2015-21	t2015-22	t2015-23	t2015-24	t2015-25	t2015-26	t2015-27	t2015-28	t2015-29	t2015-30	t2015-31	t2015-32	t2015-33	t2015-34	t2015-35	t2015-36	t2015-37	t2015-38	t2015-39	t2015-40	t2015-41	t2015-42	t2015-43	t2015-44	t2015-45	t2015-46	t2015-47	t2015-48	t2015-49	t2015-50	t2015-51	t2015-52	t2015-53
GBR	1	0.0169274767035611	1	1	1	0.312772646323707	0.326047155053869	1	0.0843506116534624	1	1	1	1	0.106885470443507	1	0.0118817670086456	1	0.020857497817471	4.20835773957377e-41	1	0.999261770019947	0.719802045244531	0.999982940274627	1	0.779779353398301	0.959470753541537	1	0.111019158617975	0.152112572888281	1	0.00839144420997679	1	1	0.201037841553196	1	0.000210573285451864	0.0764206876970314	0.694517541208503	0.870502563840806	1	0.50904454829488	1	0.0241366406618563	1	0.00615073706734809	0.095835406049412	1	0.0209204509210454	0.126881102679491	1	1	1	0.106779275596765
GEO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GHA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GIN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GMB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GNB	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GNQ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GRC	1.81218847086877e-11	0.215796179727102	1	0.041646123598326	6.43118744276679e-06	0.000102428321194453	0.999879155306273	0.431217803231684	0.983195201472485	0.994519416713821	0.994302242957815	0.757060234187078	0.979310423816228	0.934729613550597	0.300056898546774	1	0.2240945389234	0.713617063647477	1	0.260473242534894	0.392591126713879	0.00128611455974232	1.00308474104205e-09	0.194712677933033	0.00247879993341802	6.99697044925272e-10	2.42698546012524e-27	4.82846387848271e-07	0.560985175946286	0.999999999999884	0.999999999998954	0.999999992636982	0.640743071548362	0.124820546350535	1	0.998133438780605	0.93362049689164	0.00324101112541193	0.0867629891734428	1	1	0.909800315043598	1	1	1	1	1	1	1	1	1	1	1
GRD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GRL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
