"2014-00"	"2014-01"	"2014-02"	"2014-03"	"2014-04"	"2014-05"	"2014-06"	"2014-08"	"2014-09"	"2014-10"	"2014-11"	"2014-12"	"2014-13"	"2014-14"	"2014-15"	"2014-16"	"2014-17"	"2014-18"	"2014-19"	"2014-20"	"2014-21"	"2014-22"	"2014-23"	"2014-24"	"2014-25"	"2014-26"	"2014-27"	"2014-28"	"2014-29"	"2014-30"	"2014-31"	"2014-32"	"2014-33"	"2014-34"	"2014-35"	"2014-36"	"2014-37"	"2014-38"	"2014-39"	"2014-40"	"2014-41"	"2014-42"	"2014-43"	"2014-44"	"2014-45"	"2014-46"	"2014-47"	"2014-48"	"2014-49"	"2014-50"	"2014-51"	"2014-52"
"GRL"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"GTM"	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"GUY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"HKG"	0	0	2	5	2	1	2	3	2	0	3	2	0	1	1	4	2	2	2	0	1	8	5	2	5	9	2	5	2	0	0	3	2	5	10	0	1	11	49	21	25	12	16	4	3	10	13	9	13	4	7	1
"HND"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
"HRV"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
"HTI"	0	1	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	0	0	0	1	1	1	1
"HUN"	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	2	0	0	0	0	0	0	0
"IDN"	1	1	2	1	4	1	1	1	1	1	0	1	1	2	0	0	1	2	0	1	0	0	0	1	1	2	4	1	2	0	0	1	6	1	1	0	0	4	1	2	1	1	0	0	0	1	1	1	3	2	3	6
"IND"	11	27	33	25	27	22	17	15	12	27	27	26	24	27	24	26	26	23	31	33	22	20	18	8	21	7	9	10	6	7	10	8	10	7	7	1	9	13	12	14	8	3	6	9	12	9	6	11	12	3	10	5
