id	week01	week02	week03	week04	week05	week06	week07	week08	week09	week10	week11	week12	week13	week14	week15	week16	week17	week18	week19	week20	week21	week22	week23	week24	week25	week26	week27	week28	week29	week30	week31	week32	week33	week34	week35	week36	week37	week38	week39	week40	week41	week42	week43	week44	week45	week46	week47	week48	week49	week50	week51	week52
DEU	1	1	1	0	1	2	2	1	1	0	1	0	0	0	0	0	1	2	1	0	0	0	2	3	2	0	1	4	0	0	3	2	2	2	2	0	0	1	1	2	1	5	0	1	3	1	3	1	2	0	3	1	2
DNK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DZA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ECU	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EGY	6	5	6	8	11	3	3	1	1	5	1	3	4	2	1	1	3	5	3	0	2	3	4	1	5	1	3	1	5	1	3	4	3	3	3	3	2	5	2	1	0	0	2	1	2	2	1	1	2	1	2	2	1
ESP	1	3	0	1	0	1	4	0	2	1	0	1	1	1	0	0	1	0	0	2	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	1	0	1	3	0	1	1	0	0	0	1	0
EST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ETH	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRA	0	4	3	4	2	3	3	0	1	3	0	3	0	3	3	2	1	1	0	2	1	5	3	0	1	2	6	3	1	0	2	0	3	1	5	2	2	9	7	1	3	1	1	1	0	3	2	5	2	3	2	3	0
GBR	4	5	3	8	6	8	10	8	14	14	9	6	8	8	6	6	2	3	4	4	5	4	7	4	1	2	7	7	4	3	3	4	2	4	2	10	8	11	13	8	6	9	4	5	3	4	9	7	1	7	6	6	2
GEO	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GIN	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	2	1	0	2	0	0	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0
GMB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GRC	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	2	2
GRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GTM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HKG	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	1	3	0	0	1	0	1	0	0	0	2	1	1	2	12	4	8	2	2	2	4	3	4	2	5	2	1	1
HND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HRV	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
HTI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IDN	0	2	1	0	1	1	4	0	0	0	1	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	4	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	3	0	1	2
IRL	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
IRN	1	2	5	6	4	4	1	8	1	3	0	1	1	1	3	7	2	0	2	2	5	1	4	5	2	2	2	1	3	1	0	1	2	2	3	4	1	3	2	2	0	5	1	2	3	2	2	3	1	0	0	3	0
IRQ	3	7	4	3	2	4	2	3	2	3	1	5	2	3	2	1	2	4	1	2	0	2	4	14	4	14	9	3	9	1	4	6	14	14	12	10	12	16	11	10	10	7	7	11	5	9	3	4	5	2	3	3	0
ISL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
