"2014-00"	"2014-01"	"2014-02"	"2014-03"	"2014-04"	"2014-05"	"2014-06"	"2014-07"	"2014-08"	"2014-09"	"2014-10"	"2014-11"	"2014-12"	"2014-13"	"2014-14"	"2014-15"	"2014-16"	"2014-17"	"2014-18"	"2014-19"	"2014-20"	"2014-21"	"2014-22"	"2014-23"	"2014-24"	"2014-25"	"2014-26"	"2014-27"	"2014-28"	"2014-29"	"2014-30"	"2014-31"	"2014-32"	"2014-33"	"2014-34"	"2014-35"	"2014-36"	"2014-37"	"2014-38"	"2014-39"	"2014-40"	"2014-41"	"2014-42"	"2014-43"	"2014-44"	"2014-45"	"2014-46"
"IRN"	9	19	18	42	17	18	10	25	4	22	16	27	3	4	0	2	0	0	1	0	3	0	1	3	4	1	0	0	1	0	0	1	1	0	2	0	2	1	1	1	2	2	1	1	1	2	2
"IRQ"	14	34	24	19	15	23	14	23	9	17	9	18	3	10	0	0	0	4	0	0	1	1	0	26	18	20	10	3	6	4	1	20	15	9	3	7	10	11	16	21	24	9	3	3	13	7	2
"ISL"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	0	2	0	0	0	0	0	0	0
"ISR"	31	37	27	23	22	14	21	28	23	33	29	34	6	20	4	1	1	2	1	1	0	5	2	1	1	4	11	17	17	30	25	19	6	12	9	5	2	1	4	3	1	3	3	3	2	1	5
"ITA"	3	5	13	10	28	12	17	16	18	10	2	9	1	7	0	4	2	5	1	0	1	2	2	1	0	1	1	1	3	4	0	3	1	1	1	0	1	0	1	0	2	2	0	1	0	0	0
"JAM"	4	2	3	4	3	2	5	2	5	2	2	5	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"JOR"	4	0	3	3	5	3	7	6	2	2	5	2	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0
"JPN"	2	13	5	12	8	5	21	12	13	9	15	9	14	2	4	1	2	1	1	1	1	2	1	1	0	2	3	3	0	1	1	1	0	4	2	0	0	1	3	4	5	0	0	2	1	1	1
"KAZ"	0	1	0	0	0	0	0	0	0	0	6	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KEN"	1	3	4	6	8	7	5	3	1	2	2	6	1	6	0	0	2	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
"KGZ"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KHM"	5	2	1	4	1	2	2	4	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KOR"	3	10	5	6	6	10	19	17	7	7	3	5	4	7	1	31	25	8	6	3	1	4	1	2	2	5	2	1	2	1	1	0	3	1	1	0	0	1	0	0	1	1	0	1	0	1	0
"KWT"	0	3	5	2	0	2	0	0	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	3	0	0
"LAO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LBN"	18	22	22	17	24	21	26	25	21	22	19	23	5	10	4	0	1	0	3	2	2	4	0	0	0	1	1	2	0	0	2	0	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0
"LBR"	0	1	1	0	1	0	0	2	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	3	0	1	0	0	2	3	2	0	0	0	1	0	0
"LBY"	4	6	9	13	14	7	6	13	6	6	10	17	1	2	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	1	2	1	1	1	1	1	0	0	0	1	2	1	0	1	0	0	0
"LCA"	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIE"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LKA"	0	4	1	2	7	3	4	1	1	3	8	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"LTU"	0	0	0	0	0	1	0	2	0	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"LUX"	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LVA"	0	1	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAR"	1	2	1	2	2	2	3	4	5	1	3	4	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MCO"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"MDA"	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MDG"	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MDV"	0	1	0	1	0	0	0	0	0	2	4	2	5	0	1	4	0	0	1	0	0	1	2	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1
"MEX"	8	12	23	13	14	16	21	37	28	20	21	24	7	7	3	2	3	2	1	2	2	1	0	3	0	2	0	1	1	0	0	1	1	0	2	2	0	2	0	3	2	1	2	2	2	3	0
"MHL"	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MKD"	0	0	1	1	1	1	1	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MLI"	0	3	3	4	2	6	5	4	2	0	2	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"MLT"	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MMR"	2	3	5	7	0	1	1	1	9	3	2	2	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0
"MNE"	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MNG"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MOZ"	0	1	2	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MRT"	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MWI"	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MYS"	0	2	2	2	3	0	1	0	3	19	67	43	38	23	19	13	5	4	1	0	1	6	0	1	1	4	1	1	20	15	5	1	0	2	0	0	1	0	1	0	0	0	1	0	0	0	1
"NAM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NER"	0	0	0	2	2	2	2	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NGA"	3	8	23	8	11	0	7	11	11	9	13	5	3	4	2	6	2	6	19	18	13	4	1	2	0	4	1	1	2	3	1	2	0	0	1	1	0	1	1	0	0	2	2	2	0	1	0
"NIC"	1	4	0	0	2	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"NLD"	2	7	7	4	5	11	8	3	2	8	3	17	26	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	6	11	2	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0
"NOR"	1	2	3	2	3	2	1	2	1	2	1	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
"NPL"	1	1	2	6	0	2	5	3	2	4	1	0	1	0	0	6	5	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	12	1	0	0	0	0
"NZL"	2	1	1	2	1	3	3	2	1	4	4	3	2	0	13	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0
"OMN"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"PAK"	10	14	13	25	15	11	16	21	16	13	17	9	2	6	2	4	0	0	2	1	1	5	0	8	0	2	1	1	1	0	0	0	0	1	3	4	2	0	0	0	3	0	0	2	2	1	0
"PAN"	1	3	2	0	2	2	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"PER"	0	1	1	3	3	2	3	0	1	0	3	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
"PHL"	2	6	11	8	15	7	6	9	12	5	7	4	1	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	1	2	0	0	1	0
"PLW"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PNG"	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POL"	1	5	0	4	6	7	4	1	1	0	7	14	5	1	0	0	1	3	0	1	2	2	7	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	1	0	1	1	0
"PRK"	3	12	6	7	7	11	14	11	9	14	6	8	4	8	1	3	3	0	5	1	2	1	0	1	3	4	3	1	1	0	4	0	3	2	1	3	1	2	2	1	3	3	2	0	3	0	0
