"","i","j","fij"
"48016","Liège","Fontainebleau",324631.046597385
"48017","Louvain-la-Neuve","Fontainebleau",287361.101759691
"48018","Namur","Fontainebleau",277979.184343443
"48019","Tournai","Fontainebleau",249879.774692766
"48020","Rio de Janeiro","Fontainebleau",11386270.8471201
"48021","Montréal","Fontainebleau",5583529.02815465
"48022","Trois-Rivières","Fontainebleau",7015348.7620723
"48023","A Coruña","Fontainebleau",1024973.63759218
"48024","Alcalá de Guadaíra","Fontainebleau",1414953.66082496
"48025","Avilés","Fontainebleau",857078.09025603
"48026","Barcelone","Fontainebleau",781531.164125036
"48027","Bilbao","Fontainebleau",719185.240357467
"48028","Dos Hermanas","Fontainebleau",1424116.70688158
"48029","Elche","Fontainebleau",1161528.17752986
"48030","Granada","Fontainebleau",9224778.32048502
"48031","Huesca","Fontainebleau",737635.985407073
"48032","La Rioja","Fontainebleau",786764.458758126
"48033","Lugo","Fontainebleau",996853.758403564
"48034","Madrid","Fontainebleau",1023445.73785712
"48035","Málaga","Fontainebleau",1426265.30535653
"48036","Murcia","Fontainebleau",1199965.79509945
"48037","Salamanca","Fontainebleau",1058772.84311993
"48038","Segovia","Fontainebleau",988834.935032026
"48039","Sevilla","Fontainebleau",1416279.76584708
"48040","Tarragona","Fontainebleau",818017.635895281
"48041","Valladolid","Fontainebleau",950839.008348456
"48042","València","Fontainebleau",1023872.34663526
"48043","Santiago de Compostela","Fontainebleau",1068212.30228213
"48044","Vitoria-Gasteiz","Fontainebleau",745763.679083393
"48045","Xixón","Fontainebleau",842408.601375739
"48046","Zaragoza","Fontainebleau",801521.788681236
"48047","San Francisco","Fontainebleau",9201150.99859212
"48048","Athènes","Fontainebleau",2056913.27955241
"48049","Messine","Fontainebleau",1539529.52688442
"48050","Torino","Fontainebleau",530850.945030856
"48051","Panamá","Fontainebleau",9279721.75353525
"48052","Amsterdam","Fontainebleau",468751.485588453
"48053","Lisbonne","Fontainebleau",1439014.48460508
"48054","Bucarest","Fontainebleau",1842982.28063778
"48055","Glasgow","Fontainebleau",6096101.58264082
"48056","Liverpool","Fontainebleau",686191.040372845
"48057","Londres","Fontainebleau",400706.780144378
"48058","Manchester","Fontainebleau",664222.053053704
"48059","Neuchâtel","Fontainebleau",353890.452553112
"48060","Fribourg","Fontainebleau",309191.083696237
"48061","Bourg-en-Bresse","Marne la Vallée",288005.681292181
"48062","Château-Thierry","Marne la Vallée",86395.6138277655
"48063","Laon","Marne la Vallée",146326.635803969
"48064","Montluçon","Marne la Vallée",221210.86219388
"48065","Vichy","Marne la Vallée",245140.029885008
"48066","Digne-les-Bains","Marne la Vallée",530742.179797999
"48067","Manosque","Marne la Vallée",541729.394200332
"48068","Sisteron","Marne la Vallée",510093.555025094
"48069","Grasse","Marne la Vallée",599177.495126314
"48070","Nice","Marne la Vallée",609076.584393147
"48071","Aubenas","Marne la Vallée",423604.682645988
"48072","Ariège","Marne la Vallée",617035.293739693
"48073","Foix","Marne la Vallée",603823.315491498
"48074","La Bastide-de-Sérou","Marne la Vallée",601428.583713776
"48075","Pailhès","Marne la Vallée",542632.04784294
"48076","Troyes","Marne la Vallée",79231.7344411536
"48077","Carcassonne","Marne la Vallée",568790.445060679
"48078","Castans","Marne la Vallée",546581.429524222
"48079","Narbonne","Marne la Vallée",569857.460398973
"48080","Lac de Jouarres","Marne la Vallée",5181117.47776753
"48081","Millau","Marne la Vallée",467880.080322704
"48082","Villefranche de Rouergue","Marne la Vallée",446210.80312465
"48083","Rodez","Marne la Vallée",441293.620385902
"48084","Saverne","Marne la Vallée",325127.653769699
"48085","Strasbourg","Marne la Vallée",352084.0233359
"48086","Aix-en-Provence","Marne la Vallée",563901.136170675
"48087","Arles","Marne la Vallée",529962.833692764
"48088","Aubagne","Marne la Vallée",592088.357157808
"48089","Istres","Marne la Vallée",554711.118394442
"48090","La Ciotat","Marne la Vallée",605302.518024564
"48091","Marseille","Marne la Vallée",586652.292462759
"48092","Martigues","Marne la Vallée",567732.109973488
"48093","Salon de Provence","Marne la Vallée",543615.685722856
"48094","Caen","Marne la Vallée",266350.971281302
"48095","Aurillac","Marne la Vallée",378342.089733132
"48096","Angoulême","Marne la Vallée",366572.835924894
"48097","Jonzac","Marne la Vallée",412235.595444782
"48098","La Rochelle","Marne la Vallée",395143.290424496
"48099","Marennes","Marne la Vallée",417170.323848979
"48100","Saintes","Marne la Vallée",397166.414885414
"48101","Bourges","Marne la Vallée",144268.079276536
"48102","Tulle","Marne la Vallée",351082.063360508
"48103","Guéret","Marne la Vallée",253157.970329594
"48104","Dijon","Marne la Vallée",187931.386416434
"48105","Guingamp","Marne la Vallée",456089.206525322
"48106","Lannion","Marne la Vallée",479558.686353551
"48107","Saint-Brieuc","Marne la Vallée",427208.55947049
"48108","Niort","Marne la Vallée",342797.792958254
"48109","Bergerac","Marne la Vallée",429867.867788049
"48110","Nontron","Marne la Vallée",356897.710674635
"48111","Besançon","Marne la Vallée",255611.840606669
"48112","Montbéliard","Marne la Vallée",296902.221843738
"48113","Crest","Marne la Vallée",291815.86553143
"48114","Montélimar","Marne la Vallée",437992.27157865
"48115","Nyons","Marne la Vallée",468829.155747077
"48116","Valence","Marne la Vallée",402114.569050664
"48117","Evry","Marne la Vallée",54936.9528421385
"48118","Pussay","Marne la Vallée",75308.5309589592
"48119","Brest","Marne la Vallée",554928.326428529
"48120","Carhaix-Plouguer","Marne la Vallée",487695.172124337
"48121","Chateaulin","Marne la Vallée",526762.882800928
"48122","Concarneau","Marne la Vallée",517934.666906601
"48123","Morlaix","Marne la Vallée",506510.906983552
"48124","Quimper","Marne la Vallée",529617.931474447
"48125","Alès","Marne la Vallée",472470.614802371
"48126","Bagnols-sur-Cèze","Marne la Vallée",477719.66404695
"48127","Nîmes","Marne la Vallée",507970.972501003
"48128","Uzès","Marne la Vallée",489956.44711439
"48129","Auch","Marne la Vallée",551125.998697602
"48130","L'Isle Jourdain","Marne la Vallée",542708.452075001
"48131","Auros","Marne la Vallée",488264.012448314
"48132","Bazas","Marne la Vallée",496919.231923716
"48133","Bordeaux","Marne la Vallée",473303.138277857
"48134","Gans","Marne la Vallée",492147.606076215
"48135","Libourne","Marne la Vallée",452014.087556587
"48136","Langon","Marne la Vallée",486487.12189951
"48137","Sainte-Foy-la-Grande","Marne la Vallée",440773.914039264
"48138","Pointe-à-Pitre","Marne la Vallée",7002313.89233537
"48139","Guebwiller","Marne la Vallée",316100.773538971
"48140","Mulhouse","Marne la Vallée",328971.338845584
"48141","Cazères","Marne la Vallée",586572.629850577
"48142","Toulouse","Marne la Vallée",536773.92708977
"48143","Saint-Gaudens","Marne la Vallée",604775.829735401
"48144","Le Puy-en-Velay","Marne la Vallée",369006.733275446
"48145","Monistrol-sur-Loire","Marne la Vallée",347032.221780458
"48146","Tarbes","Marne la Vallée",608354.775237343
"48147","Annecy","Marne la Vallée",357993.95454564
"48148","Annemasse","Marne la Vallée",339089.727576801
"48149","Limoges","Marne la Vallée",305251.000289908
"48150","Briançon","Marne la Vallée",470234.249900875
"48151","Embrun","Marne la Vallée",494994.047144541
"48152","Gap","Marne la Vallée",478871.679563819
"48153","Veynes","Marne la Vallée",472067.807771284
"48154","Bagneux","Marne la Vallée",128937.154798746
"48155","Clamart","Marne la Vallée",77128.6350489768
"48156","Malakoff","Marne la Vallée",76726.7027851562
"48157","Brissac","Marne la Vallée",495477.571323629
"48158","Béziers","Marne la Vallée",552481.069168746
"48159","Ganges","Marne la Vallée",489236.284711177
"48160","Lodève","Marne la Vallée",509491.117760596
"48161","Montpellier","Marne la Vallée",526558.472036556
"48162","Saint Pons de Thomières","Marne la Vallée",536142.346508296
"48163","Lac de Jouarres","Marne la Vallée",5181117.47776753
"48164","Olonzac","Marne la Vallée",558971.31070942
"48165","Saint-Pons-de-Thomières","Marne la Vallée",536142.346508296
"48166","Sète","Marne la Vallée",548119.331074909
"48167","Fougères","Marne la Vallée",311896.060030689
"48168","Rennes","Marne la Vallée",348774.236977661
"48169","Saint-Aubin-du-Cormier","Marne la Vallée",327050.646793503
"48170","Saint-Malo","Marne la Vallée",372910.328682716
"48171","Châteauroux","Marne la Vallée",194363.196153411
"48172","Chinon","Marne la Vallée",243264.922861376
"48173","Tours","Marne la Vallée",201351.652630606
"48174","Bourgoin-Jallieu","Marne la Vallée",348715.743248826
"48175","Grenoble","Marne la Vallée",404713.300082434
"48176","La Côte-Saint-André","Marne la Vallée",321664.628991398
"48177","Lons le Saunier","Marne la Vallée",264687.58143237
"48178","Lons-le-Saunier","Marne la Vallée",264687.58143237
"48179","Saint-Denis de la Réunion","Marne la Vallée",11357032.105643
"48180","Saint-Leu","Marne la Vallée",11403880.7079525
"48181","Mont-de-Marsan","Marne la Vallée",560789.784475813
"48182","Montbrison","Marne la Vallée",311122.355005304
"48183","Roanne","Marne la Vallée",265458.525771514
"48184","Saint-Étienne","Marne la Vallée",335940.330302085
"48185","Blain","Marne la Vallée",368378.273633092
"48186","Châteaubriant","Marne la Vallée",333251.897951569
"48187","Nantes","Marne la Vallée",362975.424485589
"48188","Saint-Nazaire","Marne la Vallée",407457.99018125
"48189","Blois","Marne la Vallée",148583.429654988
"48190","Montargis","Marne la Vallée",40219.6589285564
"48191","Orléans","Marne la Vallée",5740968.26526683
"48192","Figeac","Marne la Vallée",418077.660892156
"48193","Cahors","Marne la Vallée",445713.016298055
"48194","Agen","Marne la Vallée",492266.166409239
"48195","Villeneuve-sur-Lot","Marne la Vallée",468616.543321464
"48196","Florac","Marne la Vallée",445354.515862522
"48197","Angers","Marne la Vallée",281708.497971051
"48198","Saint-Lô","Marne la Vallée",314339.182436604
"48199","Châlons-en-Champagne","Marne la Vallée",122951.838123431
"48200","Reims","Marne la Vallée",129314.147461134
"48201","Fort-de-France","Marne la Vallée",7133421.42166865
"48202","Craon","Marne la Vallée",299200.141580831
"48203","Laval","Marne la Vallée",282046.404777796
"48204","Nancy","Marne la Vallée",238483.225665659
"48205","Lorient","Marne la Vallée",478978.132093411
"48206","Questembert","Marne la Vallée",413557.954968446
"48207","Vannes","Marne la Vallée",436153.124860368
"48208","Metz","Marne la Vallée",249868.0625706
"48209","Nevers","Marne la Vallée",146965.503836669
"48210","Lille","Marne la Vallée",257956.937374038
"48211","Valenciennes","Marne la Vallée",230840.217288984
"48212","Avrechy","Marne la Vallée",133238.212814168
"48213","Beauvais","Marne la Vallée",142444.824412128
"48214","Alençon","Marne la Vallée",216278.46313475
"48215","Paris (Belleville Ménilmontant)","Marne la Vallée",76730.7493764816
"48216","Paris (Denfert-Rochereau)","Marne la Vallée",76401.3015700713
"48217","Paris (Place des Fêtes)","Marne la Vallée",78401.6865134429
"48218","Paris (Menilmontant-Sorbier)","Marne la Vallée",76730.7493764816
"48219","Paris (République)","Marne la Vallée",5822137.20595549
"48220","Arras","Marne la Vallée",220746.622128521
"48221","Boulogne-sur-Mer","Marne la Vallée",286914.919418162
"48222","Béthune","Marne la Vallée",246965.088379399
"48223","Calais","Marne la Vallée",304572.36909166
"48224","Saint-Omer","Marne la Vallée",276868.44591897
"48225","Ambert","Marne la Vallée",311885.874464873
"48226","Clermont-Ferrand","Marne la Vallée",281664.44434409
"48227","Accous","Marne la Vallée",655963.430959259
"48228","Bayonne","Marne la Vallée",637997.617601665
"48229","Pau","Marne la Vallée",615744.358114276
"48230","Vallée d'Aspe","Marne la Vallée",4892511.8677592
"48231","Prades","Marne la Vallée",634286.734729966
"48232","Perpignan","Marne la Vallée",624129.954005903
"48233","Lyon","Marne la Vallée",315821.504089557
"48234","Le Mans","Marne la Vallée",211417.941153468
"48235","Chambéry","Marne la Vallée",377044.585515552
"48236","Chalon-sur-Saône","Marne la Vallée",218954.190928162
"48237","Mâcon","Marne la Vallée",262349.953236964
"48238","Fontainebleau","Marne la Vallée",24797.2842662096
"48239","Marne la Vallée","Marne la Vallée",0
"48240","Melun","Marne la Vallée",35941.6360383705
"48241","Fécamp","Marne la Vallée",250691.292819015
"48242","Le Havre","Marne la Vallée",249778.856125869
"48243","Rouen","Marne la Vallée",188147.786377673
"48244","Aubervilliers","Marne la Vallée",81214.0570120666
"48245","Clichy","Marne la Vallée",83495.2989152011
"48246","Montreuil","Marne la Vallée",255763.126737994
"48247","Noisy-le-Sec","Marne la Vallée",76044.7558029302
"48248","Pantin","Marne la Vallée",78732.9075056407
"48249","Saint-Denis","Marne la Vallée",84157.3306989795
"48250","Saint-Ouen","Marne la Vallée",83009.947572576
"48251","Abbeville","Marne la Vallée",217027.732469497
"48252","Amiens","Marne la Vallée",183400.955089882
"48253","Albi","Marne la Vallée",491543.981119493
"48254","Gaillac","Marne la Vallée",497385.418654587
"48255","Moissac","Marne la Vallée",490244.829017
"48256","Saint-Antonin-Noble-Val","Marne la Vallée",471986.871057467
"48257","Belfort","Marne la Vallée",297326.172948148
"48258","Créteil","Marne la Vallée",66408.8199010019
"48259","Ivry-sur-seine","Marne la Vallée",71913.0068091621
"48260","Villejuif","Marne la Vallée",71655.5260652055
"48261","Bonneuil-sur-Marne","Marne la Vallée",64011.5152030481
"48262","Vitry-sur-Seine","Marne la Vallée",69615.1650569286
"48263","Cergy","Marne la Vallée",108828.748648636
"48264","Draguignan","Marne la Vallée",593969.244863535
"48265","Toulon","Marne la Vallée",619378.756727044
"48266","Avignon","Marne la Vallée",504158.934228225
"48267","La Roche-sur-Yon","Marne la Vallée",380328.338489239
"48268","Les Sables d'Olonne","Marne la Vallée",413613.354413705
"48269","Poitiers","Marne la Vallée",278192.319728467
"48270","Plombières-les-Bains","Marne la Vallée",259519.510998564
"48271","Épinal","Marne la Vallée",256133.090429344
"48272","Auxerre","Marne la Vallée",71826.6931025196
"48273","Sens","Marne la Vallée",24147.7789230524
"48274","Tonnerre","Marne la Vallée",88054.174272493
"48275","Élancourt","Marne la Vallée",93015.1985853988
"48276","La Verrière","Marne la Vallée",245320.539492568
"48277","Mantes la Jolie","Marne la Vallée",121322.242615005
"48278","Rambouillet","Marne la Vallée",94405.9283347997
"48279","Saint-Quentin-en-Yvelines","Marne la Vallée",84332.3548956315
"48280","Leipzig","Marne la Vallée",753829.534851987
"48281","München","Marne la Vallée",636349.534272721
"48282","Berlin","Marne la Vallée",873946.57585726
"48283","Bruxelles","Marne la Vallée",298310.776762747
"48284","Charleroi","Marne la Vallée",255848.500000964
"48285","Gent","Marne la Vallée",309478.770148366
"48286","Liège","Marne la Vallée",319338.606637032
"48287","Louvain-la-Neuve","Marne la Vallée",286802.009099091
"48288","Namur","Marne la Vallée",275070.280898544
"48289","Tournai","Marne la Vallée",256640.874018841
"48290","Rio de Janeiro","Marne la Vallée",11396910.8130235
"48291","Montréal","Marne la Vallée",5608325.68832501
"48292","Trois-Rivières","Marne la Vallée",7036762.84095254
"48293","A Coruña","Marne la Vallée",1039990.89580946
"48294","Alcalá de Guadaíra","Marne la Vallée",1418766.35224949
"48295","Avilés","Marne la Vallée",869714.704615159
"48296","Barcelone","Marne la Vallée",772948.022658768
"48297","Bilbao","Marne la Vallée",726071.048216201
"48298","Dos Hermanas","Marne la Vallée",1427991.00537447
"48299","Elche","Marne la Vallée",1157755.25315634
"48300","Granada","Marne la Vallée",9248712.55046357
"48301","Huesca","Marne la Vallée",736364.356229411
"48302","La Rioja","Marne la Vallée",790805.330980861
"48303","Lugo","Marne la Vallée",1010403.32868816
"48304","Madrid","Marne la Vallée",1027136.70068447
"48305","Málaga","Marne la Vallée",1427559.64557682
"48306","Murcia","Marne la Vallée",1196815.25191836
"48307","Salamanca","Marne la Vallée",1066469.69992185
"48308","Segovia","Marne la Vallée",993990.982822072
"48309","Sevilla","Marne la Vallée",1420348.2990405
"48310","Tarragona","Marne la Vallée",811632.834229269
"48311","Valladolid","Marne la Vallée",958107.462615167
"48312","València","Marne la Vallée",1020179.90152794
"48313","Santiago de Compostela","Marne la Vallée",1082549.33027559
"48314","Vitoria-Gasteiz","Marne la Vallée",751213.394375262
"48315","Xixón","Marne la Vallée",854673.457038157
"48316","Zaragoza","Marne la Vallée",800856.518729561
"48317","San Francisco","Marne la Vallée",9225004.32793369
"48318","Athènes","Marne la Vallée",2032131.64416743
"48319","Messine","Marne la Vallée",1516017.23195967
"48320","Torino","Marne la Vallée",507334.56171028
"48321","Panamá","Marne la Vallée",9303031.83629777
"48322","Amsterdam","Marne la Vallée",471825.814050481
"48323","Lisbonne","Marne la Vallée",1448328.30346724
"48324","Bucarest","Marne la Vallée",1819573.77302825
"48325","Glasgow","Marne la Vallée",6120890.46940735
"48326","Liverpool","Marne la Vallée",707335.257610379
"48327","Londres","Marne la Vallée",420966.347338012
"48328","Manchester","Marne la Vallée",684478.122450304
"48329","Neuchâtel","Marne la Vallée",329094.203211591
"48330","Fribourg","Marne la Vallée",288787.55461743
"48331","Bourg-en-Bresse","Melun",323573.262632624
"48332","Château-Thierry","Melun",78189.9862073987
"48333","Laon","Melun",133832.907236838
"48334","Montluçon","Melun",244443.368590809
"48335","Vichy","Melun",274454.639986644
"48336","Digne-les-Bains","Melun",565368.078715484
"48337","Manosque","Melun",575456.100489136
"48338","Sisteron","Melun",544425.021162207
"48339","Grasse","Melun",634197.771872646
"48340","Nice","Melun",644407.829104451
"48341","Aubenas","Melun",455031.234821746
"48342","Ariège","Melun",637878.327726092
"48343","Foix","Melun",624584.742080819
"48344","La Bastide-de-Sérou","Melun",621448.564956391
"48345","Pailhès","Melun",569185.450568859
"48346","Troyes","Melun",108031.127772642
"48347","Carcassonne","Melun",592255.788211355
"48348","Castans","Melun",570516.669419338
"48349","Narbonne","Melun",595719.010847638
"48350","Lac de Jouarres","Melun",5147324.24411339
"48351","Millau","Melun",494154.955319585
"48352","Villefranche de Rouergue","Melun",467668.421584412
"48353","Rodez","Melun",465351.10698346
"48354","Saverne","Melun",347084.496807626
"48355","Strasbourg","Melun",375541.873340652
"48356","Aix-en-Provence","Melun",596738.740363681
"48357","Arles","Melun",561108.935607204
"48358","Aubagne","Melun",624940.970153829
"48359","Istres","Melun",586573.707293861
"48360","La Ciotat","Melun",638118.715634055
"48361","Marseille","Melun",619126.831236125
"48362","Martigues","Melun",599646.232232678
"48363","Salon de Provence","Melun",575839.629247386
"48364","Caen","Melun",233488.75207818
"48365","Aurillac","Melun",401493.299017278
"48366","Angoulême","Melun",372996.163277413
"48367","Jonzac","Melun",416359.438871196
"48368","La Rochelle","Melun",390838.948984867
"48369","Marennes","Melun",415485.405472458
"48370","Saintes","Melun",398429.094167614
"48371","Bourges","Melun",163333.09306431
"48372","Tulle","Melun",369725.696273009
"48373","Guéret","Melun",270080.031577862
"48374","Dijon","Melun",223444.351634199
"48375","Guingamp","Melun",428787.588058478
"48376","Lannion","Melun",451320.505943813
"48377","Saint-Brieuc","Melun",400212.589044622
"48378","Niort","Melun",340698.072944614
"48379","Bergerac","Melun",441844.381978629
"48380","Nontron","Melun",367223.183056512
"48381","Besançon","Melun",289999.515465923
"48382","Montbéliard","Melun",328882.102759691
"48383","Crest","Melun",318906.849632223
"48384","Montélimar","Melun",470359.428872471
"48385","Nyons","Melun",501861.440432008
"48386","Valence","Melun",435312.184422777
"48387","Evry","Melun",19308.1790822757
"48388","Pussay","Melun",53816.4853919592
"48389","Brest","Melun",528407.680411864
"48390","Carhaix-Plouguer","Melun",462004.416628179
"48391","Chateaulin","Melun",501360.647640161
"48392","Concarneau","Melun",494437.584076946
"48393","Morlaix","Melun",479079.370119178
"48394","Quimper","Melun",505321.370186523
"48395","Alès","Melun",502444.149098852
"48396","Bagnols-sur-Cèze","Melun",509309.509634293
"48397","Nîmes","Melun",538524.625116598
"48398","Uzès","Melun",520836.924869488
"48399","Auch","Melun",566711.830691402
"48400","L'Isle Jourdain","Melun",560563.35085883
"48401","Auros","Melun",498128.457679395
"48402","Bazas","Melun",506673.995882836
"48403","Bordeaux","Melun",479642.634099447
"48404","Gans","Melun",502147.482243769
"48405","Libourne","Melun",459767.508887401
"48406","Langon","Melun",495650.25084859
"48407","Sainte-Foy-la-Grande","Melun",451277.274188812
"48408","Pointe-à-Pitre","Melun",6979453.95763949
"48409","Guebwiller","Melun",345072.079052998
"48410","Mulhouse","Melun",358872.260584563
"48411","Cazères","Melun",605004.770397145
"48412","Toulouse","Melun",556242.782944625
"48413","Saint-Gaudens","Melun",621861.825465648
"48414","Le Puy-en-Velay","Melun",399181.022526866
"48415","Monistrol-sur-Loire","Melun",378604.852452696
"48416","Tarbes","Melun",622577.466877308
"48417","Annecy","Melun",393902.223296707
"48418","Annemasse","Melun",375011.426668168
"48419","Limoges","Melun",318485.989647523
"48420","Briançon","Melun",505885.037389387
"48421","Embrun","Melun",530299.625503265
"48422","Gap","Melun",513740.327903746
"48423","Veynes","Melun",506565.163256085
"48424","Bagneux","Melun",111689.47383908
"48425","Clamart","Melun",41187.2145144335
"48426","Malakoff","Melun",40847.63311298
"48427","Brissac","Melun",524001.777555203
"48428","Béziers","Melun",579106.478808674
"48429","Ganges","Melun",517809.850061973
"48430","Lodève","Melun",536590.543993232
"48431","Montpellier","Melun",555490.62922648
"48432","Saint Pons de Thomières","Melun",561121.116198124
"48433","Lac de Jouarres","Melun",5147324.24411339
"48434","Olonzac","Melun",583849.787585029
"48435","Saint-Pons-de-Thomières","Melun",561121.116198124
"48436","Sète","Melun",576355.640641432
"48437","Fougères","Melun",286394.743320186
"48438","Rennes","Melun",325211.667329259
"48439","Saint-Aubin-du-Cormier","Melun",302352.419618856
"48440","Saint-Malo","Melun",344999.462853685
"48441","Châteauroux","Melun",205943.275170146
"48442","Chinon","Melun",236737.500174869
"48443","Tours","Melun",194882.304656027
"48444","Bourgoin-Jallieu","Melun",383601.849673713
"48445","Grenoble","Melun",439752.427838097
"48446","La Côte-Saint-André","Melun",355138.885619124
"48447","Lons le Saunier","Melun",300604.405835996
"48448","Lons-le-Saunier","Melun",300604.405835996
"48449","Saint-Denis de la Réunion","Melun",11392270.5621826
"48450","Saint-Leu","Melun",11439148.9673896
"48451","Mont-de-Marsan","Melun",570929.140274775
"48452","Montbrison","Melun",342770.430459328
"48453","Roanne","Melun",297907.785871931
"48454","Saint-Étienne","Melun",368464.540536634
"48455","Blain","Melun",350480.527416185
"48456","Châteaubriant","Melun",313805.968819231
"48457","Nantes","Melun",347956.298183748
"48458","Saint-Nazaire","Melun",390363.085897591
"48459","Blois","Melun",144805.574652047
"48460","Montargis","Melun",60380.6688261127
"48461","Orléans","Melun",5707010.44756776
"48462","Figeac","Melun",439257.519298992
"48463","Cahors","Melun",463948.592384924
"48464","Agen","Melun",506813.908148134
"48465","Villeneuve-sur-Lot","Melun",483101.184150293
"48466","Florac","Melun",473764.597183437
"48467","Angers","Melun",267206.406189762
"48468","Saint-Lô","Melun",282726.021543191
"48469","Châlons-en-Champagne","Melun",133444.049006431
"48470","Reims","Melun",128359.284935154
"48471","Fort-de-France","Melun",7111231.03768638
"48472","Craon","Melun",279202.784162454
"48473","Laval","Melun",259825.607284537
"48474","Nancy","Melun",260220.83923554
"48475","Lorient","Melun",456708.43755389
"48476","Questembert","Melun",392918.279552146
"48477","Vannes","Melun",415140.99943239
"48478","Metz","Melun",265985.797375894
"48479","Nevers","Melun",175800.193203811
"48480","Lille","Melun",234529.208666393
"48481","Valenciennes","Melun",211970.044556775
"48482","Avrechy","Melun",102456.413310358
"48483","Beauvais","Melun",108650.492686686
"48484","Alençon","Melun",190265.15079647
"48485","Paris (Belleville Ménilmontant)","Melun",41630.093695867
"48486","Paris (Denfert-Rochereau)","Melun",40708.7327345364
"48487","Paris (Place des Fêtes)","Melun",42914.2593818758
"48488","Paris (Menilmontant-Sorbier)","Melun",41630.093695867
"48489","Paris (République)","Melun",5854231.30665798
"48490","Arras","Melun",195032.502619429
"48491","Boulogne-sur-Mer","Melun",254823.773838292
"48492","Béthune","Melun",220326.252949399
"48493","Calais","Melun",274049.546158727
"48494","Saint-Omer","Melun",247937.134456565
"48495","Ambert","Melun",342082.327127743
"48496","Clermont-Ferrand","Melun",308525.587309318
"48497","Accous","Melun",668027.098172907
"48498","Bayonne","Melun",645317.450076908
"48499","Pau","Melun",628001.328367289
"48500","Vallée d'Aspe","Melun",4911519.44086052
"48501","Prades","Melun",658178.283799984
"48502","Perpignan","Melun",649557.336851041
"48503","Lyon","Melun",350090.193418126
"48504","Le Mans","Melun",191942.59254448
"48505","Chambéry","Melun",412655.253313262
"48506","Chalon-sur-Saône","Melun",254770.234175135
"48507","Mâcon","Melun",297502.296070517
"48508","Fontainebleau","Melun",15304.9327435333
"48509","Marne la Vallée","Melun",35941.6360383705
"48510","Melun","Melun",0
"48511","Fécamp","Melun",214850.231290589
"48512","Le Havre","Melun",214755.347882783
"48513","Rouen","Melun",152241.909726471
"48514","Aubervilliers","Melun",46426.4189349128
"48515","Clichy","Melun",48053.1032322767
"48516","Montreuil","Melun",223707.02985193
"48517","Noisy-le-Sec","Melun",41831.7764904038
"48518","Pantin","Melun",43980.6748802681
"48519","Saint-Denis","Melun",49324.0678052006
"48520","Saint-Ouen","Melun",47809.8834408628
"48521","Abbeville","Melun",184320.133622271
"48522","Amiens","Melun",152971.777651794
"48523","Albi","Melun",513846.832845216
"48524","Gaillac","Melun",518573.664870453
"48525","Moissac","Melun",507305.376132409
"48526","Saint-Antonin-Noble-Val","Melun",492261.592977828
"48527","Belfort","Melun",328481.436966604
"48528","Créteil","Melun",31106.4776200469
"48529","Ivry-sur-seine","Melun",36362.2405544754
"48530","Villejuif","Melun",35854.646294306
"48531","Bonneuil-sur-Marne","Melun",28976.3991548966
"48532","Vitry-sur-Seine","Melun",33928.9139490303
"48533","Cergy","Melun",73065.8516053977
"48534","Draguignan","Melun",628406.438451518
"48535","Toulon","Melun",652706.116681517
"48536","Avignon","Melun",536003.532767069
"48537","La Roche-sur-Yon","Melun",370699.437012084
"48538","Les Sables d'Olonne","Melun",404091.571331736
"48539","Poitiers","Melun",279001.501572595
"48540","Plombières-les-Bains","Melun",288876.206145392
"48541","Épinal","Melun",283631.610995908
"48542","Auxerre","Melun",107526.258188018
"48543","Sens","Melun",59717.57711558
"48544","Tonnerre","Melun",123607.727329226
"48545","Élancourt","Melun",58223.1413664885
"48546","La Verrière","Melun",220461.161832805
"48547","Mantes la Jolie","Melun",85660.7915529828
"48548","Rambouillet","Melun",62230.3457814987
"48549","Saint-Quentin-en-Yvelines","Melun",53679.8787458854
"48550","Leipzig","Melun",764105.523249366
"48551","München","Melun",661757.886888898
"48552","Berlin","Melun",880349.971013365
"48553","Bruxelles","Melun",284256.302430184
"48554","Charleroi","Melun",245137.848785327
"48555","Gent","Melun",290141.260951203
"48556","Liège","Melun",315042.035317185
"48557","Louvain-la-Neuve","Melun",275712.672798383
"48558","Namur","Melun",267367.511139832
"48559","Tournai","Melun",235820.190758178
"48560","Rio de Janeiro","Melun",11393692.3936693
"48561","Montréal","Melun",5574529.100904
"48562","Trois-Rivières","Melun",7013940.27790603
"48563","A Coruña","Melun",1029705.54492301
"48564","Alcalá de Guadaíra","Melun",1425998.49671424
"48565","Avilés","Melun",863512.960964362
"48566","Barcelone","Melun",796353.335402151
"48567","Bilbao","Melun",728944.774176151
"48568","Dos Hermanas","Melun",1435134.08702127
"48569","Elche","Melun",1175266.3365423
"48570","Granada","Melun",9219431.23981876
"48571","Huesca","Melun",750690.660077267
"48572","La Rioja","Melun",797814.870532979
"48573","Lugo","Melun",1002638.04782081
"48574","Madrid","Melun",1034592.36069546
"48575","Málaga","Melun",1438329.01332598
"48576","Murcia","Melun",1213526.79592221
"48577","Salamanca","Melun",1068028.04823131
"48578","Segovia","Melun",999340.706498899
"48579","Sevilla","Melun",1427213.43148121
"48580","Tarragona","Melun",832423.83542838
"48581","Valladolid","Melun",960336.186490802
"48582","València","Melun",1037600.65291683
"48583","Santiago de Compostela","Melun",1073429.34335997
