"","i","j","fij"
"117","Lons le Saunier","Bourg-en-Bresse",58019.0528408315
"118","Lons-le-Saunier","Bourg-en-Bresse",58019.0528408315
"119","Saint-Denis de la Réunion","Bourg-en-Bresse",11087085.5340149
"120","Saint-Leu","Bourg-en-Bresse",11133501.4708151
"121","Mont-de-Marsan","Bourg-en-Bresse",518767.464235014
"122","Montbrison","Bourg-en-Bresse",111775.774817248
"123","Roanne","Bourg-en-Bresse",90848.8979664256
"124","Saint-Étienne","Bourg-en-Bresse",106990.990452671
"125","Blain","Bourg-en-Bresse",550837.435974065
"126","Châteaubriant","Bourg-en-Bresse",529164.359126466
"127","Nantes","Bourg-en-Bresse",530239.415244122
"128","Saint-Nazaire","Bourg-en-Bresse",580011.829550011
"129","Blois","Bourg-en-Bresse",333635.75906472
"130","Montargis","Bourg-en-Bresse",274437.942729298
"131","Orléans","Bourg-en-Bresse",5997148.76471727
"132","Figeac","Bourg-en-Bresse",306210.629950641
"133","Cahors","Bourg-en-Bresse",355053.570319629
"134","Agen","Bourg-en-Bresse",424612.867079821
"135","Villeneuve-sur-Lot","Bourg-en-Bresse",406663.336572819
"136","Florac","Bourg-en-Bresse",244977.73871776
"137","Angers","Bourg-en-Bresse",462130.411243575
"138","Saint-Lô","Bourg-en-Bresse",573594.839763933
"139","Châlons-en-Champagne","Bourg-en-Bresse",312499.254999587
"140","Reims","Bourg-en-Bresse",350787.956458344
"141","Fort-de-France","Bourg-en-Bresse",7279419.12535977
"142","Craon","Bourg-en-Bresse",503217.449134537
"143","Laval","Bourg-en-Bresse",499416.519575158
"144","Nancy","Bourg-en-Bresse",285658.133151167
"145","Lorient","Bourg-en-Bresse",674819.161426262
"146","Questembert","Bourg-en-Bresse",605851.764380274
"147","Vannes","Bourg-en-Bresse",628294.816866257
"148","Metz","Bourg-en-Bresse",331618.180969882
"149","Nevers","Bourg-en-Bresse",180722.660975609
"150","Lille","Bourg-en-Bresse",517159.599451857
"151","Valenciennes","Bourg-en-Bresse",478683.975423562
"152","Avrechy","Bourg-en-Bresse",416735.349476576
"153","Beauvais","Bourg-en-Bresse",429401.349284063
"154","Alençon","Bourg-en-Bresse",459816.741781798
"155","Paris (Belleville Ménilmontant)","Bourg-en-Bresse",364735.485599026
"156","Paris (Denfert-Rochereau)","Bourg-en-Bresse",364270.318750301
"157","Paris (Place des Fêtes)","Bourg-en-Bresse",366368.01207764
"158","Paris (Menilmontant-Sorbier)","Bourg-en-Bresse",364735.485599026
"159","Paris (République)","Bourg-en-Bresse",5549039.64734694
"160","Arras","Bourg-en-Bresse",489171.27896427
"161","Boulogne-sur-Mer","Bourg-en-Bresse",569094.884880806
"162","Béthune","Bourg-en-Bresse",516226.323015729
"163","Calais","Bourg-en-Bresse",582410.768842709
"164","Saint-Omer","Bourg-en-Bresse",551110.114031898
"165","Ambert","Bourg-en-Bresse",136035.683272048
"166","Clermont-Ferrand","Bourg-en-Bresse",172544.722048367
"167","Accous","Bourg-en-Bresse",584988.762816724
"168","Bayonne","Bourg-en-Bresse",608817.354375451
"169","Pau","Bourg-en-Bresse",547954.901390287
"170","Vallée d'Aspe","Bourg-en-Bresse",4710473.76480018
"171","Prades","Bourg-en-Bresse",456679.905777494
"172","Perpignan","Bourg-en-Bresse",432097.539082438
"173","Lyon","Bourg-en-Bresse",58251.7389695803
"174","Le Mans","Bourg-en-Bresse",430411.943510164
"175","Chambéry","Bourg-en-Bresse",89112.5805868615
"176","Chalon-sur-Saône","Bourg-en-Bresse",70834.2547565807
"177","Mâcon","Bourg-en-Bresse",32178.0901053205
"178","Fontainebleau","Bourg-en-Bresse",309925.02384658
"179","Marne la Vallée","Bourg-en-Bresse",288005.681292181
"180","Melun","Bourg-en-Bresse",323573.262632624
"181","Fécamp","Bourg-en-Bresse",535386.477492514
"182","Le Havre","Bourg-en-Bresse",529002.604751575
"183","Rouen","Bourg-en-Bresse",474030.496244477
"184","Aubervilliers","Bourg-en-Bresse",369175.020493303
"185","Clichy","Bourg-en-Bresse",371477.577456515
"186","Montreuil","Bourg-en-Bresse",538341.090197343
"187","Noisy-le-Sec","Bourg-en-Bresse",363881.175627021
"188","Pantin","Bourg-en-Bresse",366693.594153231
"189","Saint-Denis","Bourg-en-Bresse",372120.288747413
"190","Saint-Ouen","Bourg-en-Bresse",371015.617186585
"191","Abbeville","Bourg-en-Bresse",501514.525485166
"192","Amiens","Bourg-en-Bresse",464425.63214675
"193","Albi","Bourg-en-Bresse",350151.500737064
"194","Gaillac","Bourg-en-Bresse",366153.703551546
"195","Moissac","Bourg-en-Bresse",400246.140413337
